ds;y
2017-01-02;220
2017-01-03;308
2017-01-04;568
2017-01-05;681
2017-01-06;606
2017-01-07;295
2017-01-08;531
2017-01-09;10373
2017-01-10;11055
2017-01-11;11157
2017-01-12;11455
2017-01-13;11508
2017-01-14;931
2017-01-15;645
2017-01-16;12415
2017-01-17;11888
2017-01-18;12979
2017-01-19;12782
2017-01-20;12576
2017-01-21;738
2017-01-22;522
2017-01-23;10522
2017-01-24;12003
2017-01-25;11859
2017-01-26;7583
2017-01-27;6800
2017-01-28;468
2017-01-29;406
2017-01-30;7108
2017-01-31;7209
2017-02-01;8093
2017-02-02;8186
2017-02-03;8019
2017-02-04;397
2017-02-05;377
2017-02-06;8319
2017-02-07;7751
2017-02-08;8046
2017-02-09;8118
2017-02-10;7960
2017-02-11;473
2017-02-12;434
2017-02-13;9084
2017-02-14;8951
2017-02-15;9116
2017-02-16;8326
2017-02-17;7901
2017-02-18;495
2017-02-19;528
2017-02-20;8891
2017-02-21;8143
2017-02-22;7374
2017-02-23;362
2017-02-24;393
2017-02-25;318
2017-02-26;420
2017-02-27;8853
2017-02-28;8808
2017-03-01;9078
2017-03-02;9303
2017-03-03;8788
2017-03-04;656
2017-03-05;548
2017-03-06;9448
2017-03-07;7217
2017-03-08;495
2017-03-09;9999
2017-03-10;10085
2017-03-11;698
2017-03-12;619
2017-03-13;11314
2017-03-14;11454
2017-03-15;11521
2017-03-16;10977
2017-03-17;9822
2017-03-18;694
2017-03-19;595
2017-03-20;11150
2017-03-21;11766
2017-03-22;11677
2017-03-23;11052
2017-03-24;10864
2017-03-25;866
2017-03-26;784
2017-03-27;12249
2017-03-28;12770
2017-03-29;11905
2017-03-30;11949
2017-03-31;10669
2017-04-01;895
2017-04-02;561
2017-04-03;10479
2017-04-04;10638
2017-04-05;10929
2017-04-06;10984
2017-04-07;10643
2017-04-08;844
2017-04-09;651
2017-04-10;11699
2017-04-11;12820
2017-04-12;12986
2017-04-13;12345
2017-04-14;12069
2017-04-15;1220
2017-04-16;566
2017-04-17;12787
2017-04-18;12725
2017-04-19;12962
2017-04-20;13339
2017-04-21;11235
2017-04-22;855
2017-04-23;674
2017-04-24;13552
2017-04-25;13248
2017-04-26;9528
2017-04-27;9540
2017-04-28;8549
2017-04-29;571
2017-04-30;441
2017-05-01;464
2017-05-02;8979
2017-05-03;8478
2017-05-04;9254
2017-05-05;8510
2017-05-06;475
2017-05-07;280
2017-05-08;362
2017-05-09;346
2017-05-10;9219
2017-05-11;9988
2017-05-12;9040
2017-05-13;571
2017-05-14;495
2017-05-15;9121
2017-05-16;8037
2017-05-17;8393
2017-05-18;7770
2017-05-19;6601
2017-05-20;407
2017-05-21;362
2017-05-22;7863
2017-05-23;7590
2017-05-24;7624
2017-05-25;7379
2017-05-26;6481
2017-05-27;472
2017-05-28;278
2017-05-29;7617
2017-05-30;7960
2017-05-31;7657
2017-06-01;7825
2017-06-02;7317
2017-06-03;479
2017-06-04;414
2017-06-05;8274
2017-06-06;8974
2017-06-07;8922
2017-06-08;8926
